extension,File Format,count,NARA Format ID
asd,Microsoft Word Auto-save Document Format,15690,NF00706
dbf,ESRI Shapefile (dBASE Table for ESRI Shapefile),15539,NF00558
ltr,Letter,15362,NF00714
aiff|aif,Audio Interchange Format (AIFF),15348,NF00115
cfg,Configuration file,15274,
java,Java Source Code,15270,NF00216
psd1,Microsoft Windows PowerShell Data File,15140,NF00387
rm|rmf,RealMedia,15130,NF00396
index,Unidentified,15070,
ix,Unidentified,15066,
bk!,WordPerfect Document Backup File,14945,
cs3,Unidentified,14316,
frm,MySQL Form Definition,13853,NF00340
pcx|pcc,PiCture eXchange (PCX) unspecified version,13822,NF00843
pdf,Acrobat PDF/X - Portable Document Format - Exchange 1:2001,13747,
pdf,Acrobat PDF/X - Portable Document Format - Exchange 2:2003,13747,
pdf,Acrobat PDF/X - Portable Document Format - Exchange 1a:2003,13747,
pdf,Acrobat PDF/X - Portable Document Format - Exchange 3:2003,13747,
pdf,Acrobat PDF/X - Portable Document Format - Exchange 1:1999,13747,
aci,ACI Development Appraisal,13531,
m4a,MPEG-4 Audio Layer,13473,
svn-ba,Unidentified,13466,
pdb|mks,Windows Program Database,13388,NF00677
vss,Microsoft Visio Stencils,13368,NF00707
ex_,InstallShield installer archive,13211,NF00712
pub,Ventura Publisher - Publications file,13167,NF00434
inc,Include Header File,13124,NF00708
srt,SubRip Video Subtitle,13072,NF00723
tbl,PageMaker TableEditor Graphics,13057,NF00353
ifo,DVD Info File,12825,NF00168
bup,DVD Data Backup File,12809,NF00166
doc,Microsoft Word for Macintosh Document (X),12748,
doc,Microsoft Word for MS-DOS Document (3.0),12748,
doc,Wordperfect Secondary File (5.1/5.2),12748,
doc,Microsoft Word for  Macintosh Document (6.0),12748,
doc,Wordperfect Secondary File (5.0),12748,
htm,Hypertext Markup Language,12687,
wmv,Windows Media Video Unspecified Version,12441,
nsf,Lotus Notes Database Unspecified Version,12173,
drw,Micrografx Designer/Draw unspecified version,12120,NF00841
pnf,Windows Precompiled Setup Information,12073,NF00711
dir,Adobe Director,12052,NF00678
msg,OLE2 Compound Document Format,11979,
tab|tsv,Tab Separated Values,11928,NF00418
pm,Unidentified,11844,
pl,Perl Source Code Script,11763,NF00685
opal,Unidentified,11694,
15,Unidentified,11693,
scc,Sonic Scenarist Closed Caption Format,11658,NF00709
lex,Dictionary Lexicon File,11642,NF00158
dot,Microsoft Word for Windows 97-2003 Template,11609,NF00588
h,Header file,11550,
file,Unidentified,11522,
ds_sto,Unidentified,11521,
cfm,Cold Fusion Markup Language,11495,NF00142
xlk,Microsoft Excel Backup,11390,NF00264
eml,Unidentified,11384,
config,Configuration file,11330,
pdf,Acrobat PDF 1.1 - Portable Document Format (1.1),11226,
arw,Sony Alpha RAW 1.x,11114,NF00809
downlo,Unidentified,10995,
ebs,Unidentified,10945,
mpp,Microsoft Project unspecified version,10746,NF00842
style,Unidentified,10594,
cur,Windows Cursor image file,10512,NF00687
onetoc,Unidentified,10281,
tsr,Unidentified,10266,
mdb,Microsoft Access (.mdb) unspecified version,10134,NF00834
mpf,Media Package File,10119,NF00715
php,PHP Script,10076,NF00358
prn,Postscript Printer File,10024,
r,R Script File,9962,
label,Unidentified,9943,
pfb,Adobe Type 1 PostScript Printer Font Binary,9910,NF00386
html,Hypertext Markup Language (3.2),9890,
string,Unidentified,9859,
sig,Signature Block,9830,NF00716
16,Unidentified,9802,
zdct,Adobe Localization File,9664,NF00537
xfdl,Extensible Forms Description Language (XFDL),9644,NF00686
lr,8-bit ASCII Text,9519,
ch_,Unidentified,9497,
png,Portable Network Graphics (1.0),9467,
rw,Unidentified,9438,
din,Unidentified,9421,
dat,8-bit ASCII Text,9392,
image,Unidentified,9349,
resx,Unidentified,9333,
wld|blw|bpw|bqw|gfw|tfw|pgw,ESRI World File,9331,NF00175
ppt,Microsoft Powerpoint Presentation (97-2002),9192,
25,Unidentified,9165,
xlsx,Microsoft Office Open XML (2007),9028,
qss,Unidentified,9011,
lft,ChiWriter Laser printer font,9008,
ics,Internet Calendar and Scheduling format,8852,
nlb,Unidentified,8801,
14,Unidentified,8725,
bin,Binary file,8543,NF00135
locals,Unidentified,8538,
sy_,Unidentified,8527,
hl_,Unidentified,8422,
28,Unidentified,8414,
doc,Microsoft Word for MS-DOS Document (5.5),8334,
doc,Microsoft Word for MS-DOS Document (5.0),8334,
doc,Microsoft Word for MS-DOS Document (4.0),8334,
doc,Stationary  for Mac OS X,8334,
pro,Adobe Proto Design Project File,8305,
idlg,Unidentified,8301,
13,Unidentified,8285,
11,Unidentified,8212,
ldf,Microsoft SQL Server Log File,8180,
pip,Microsoft Office Personalized Settings File,8177,NF00718
