,extension,count
595,nam,68
596,names,3
597,namespace,36
598,ncb,3
599,ncr53c8xx,1
600,net,1
601,netlink,1
602,netware,12
603,newfeatures,1
604,nex,73
605,nexus,2
606,nl,3
607,nn,1
608,no,1
609,nommu,2
610,nommu_defconfig,1
611,normal,1
612,note,1
613,notes,11
614,ns,1
615,nse,6
616,ntx,2
617,num,164
618,nwk,1
619,nzmg,3
620,o,1116
621,obj,26
622,ocx,11
623,offsets,5
624,ogg,1
625,old,24
626,one,1
627,opj,14
628,opsp_defconfig,1
629,opt,6
630,order,4
631,orig,7
632,original,1
633,os2,1
634,os400,3
635,oss,1
636,otcl,6
637,otf,7
638,out,245
639,ovr,10
640,p,5
641,p12,6
642,paaratte,2
643,pac,1
644,pack,1
645,packages,1
646,pae,1
647,paly,1
648,par,217
649,param,21
650,pas,4
651,patch,4
652,pbm,2
653,pbxproj,2
654,pbxuser,4
655,pc,2
656,pcbit,1
657,pcf,7
658,pch,9
659,pcx,1
660,pdb,417
661,pdf,1968
662,ped,4
663,pem,21
664,pep,2
665,perl,7
666,peterson,1
667,pf_sli,1
668,pfa,1
669,pgm,2
670,php,50
671,php3,107
672,phpt,59
673,phy,1
674,pic,8
675,pict,3
676,pid,3
677,pindex,6
678,pingpong,3
679,pipelining,3
680,pk,1
681,pkg,6
682,pks,22
683,pl,595
684,pl_orig,1
685,plaintex,1
686,plist,16
687,plo,20
688,plot,13
689,pm,451
690,png,2273
691,pnm,1
692,po,233
693,pod,104
694,por,3
695,portsrc,1
696,pot,37
697,pov,2
698,ppc64,1
699,ppm,14
700,pps,1
701,ppsx,1
702,ppt,18
703,pptx,1
704,preempt,1
705,prefs,2
706,prj,4
707,prm,12
708,prn,24
709,procmailrc,1
710,projects,1
711,ps,638
712,ps3,1
713,psd,64
714,psv,1
715,psvp,6
716,pt,1
717,pt-br,1
718,pub,3
719,pup,1
720,pvrusb2,1
721,py,34
722,q,14
723,ql,1
724,qla2xxx,1
725,qla3xxx,1
726,qpg,1
727,quirks,1
728,r,1240
729,rands,3
730,randsgz,1
731,rar,1
732,ras,254
733,rat2,1
734,raw,2
735,rc,23
736,rd,2325
737,rda,402
738,rdata,136
739,readme,9
740,ref,4
741,reg,5
742,regions,1
743,rej,1
744,repository,2
745,res,18
746,result,2
747,rgb,2
748,rin,2
749,riscos,1
750,rnw,9
751,rpath,1
752,rsa,1
753,rt,2
754,rt_debug,2
755,rterm,1
756,rtest,1
757,rtf,96
758,rua,1
759,rules,2
760,rus,1
761,s,1151
762,s2s,1
763,s390,1
764,s70,2
765,s90,3
766,sa,8
767,saa7134,2
768,sam,6
769,sample,19
770,sas,1
771,sav,19
772,save,135
773,sb1000,1
774,sbn,4
775,sbx,4
776,sc,1
777,scn,5
778,scr,5
779,scrflog,237
780,script,3
781,scss,91
782,sda,6
783,sdd,9
784,sdl,3
785,sdn,26
786,sdw,12
787,se,1
788,sea,1
789,sed,8
790,sed~,1
791,seq,4
792,sgy,452
793,sgy~,2
794,sh,128
795,shadow,24
796,shadowindexarrays,11
797,shadowindexcompactdirectory,11
798,shadowindexdirectory,11
799,shadowindexgroups,17
800,shadowindexhead,17
801,shadowindexpositiontable,11
802,shadowindextermids,11
803,shp,4
804,shtml,8
805,shx,4
806,sin,2
807,sit,2
808,site,2
809,sitegif,237
810,sln,66
811,smoke,1
812,smp,1
813,smp_defconfig,3
814,snowleopard,6
815,snw,13
816,so,22
817,sol,2
818,sp,1
819,spc,3
820,spec,2
821,spx,3
822,sql,3
823,src,1
824,srm,6
825,ssi,2
826,stagec,1
827,start,1
828,stat,1
829,state,7
830,status,10
831,stl,2
832,str,214
833,sty,21
834,sty~,1
835,sub,12
836,suli,1
837,supp,3
838,sur,1
839,suse,1
840,svg,822
841,svt,1
842,swf,220
843,syd,2
844,sym53c8xx,1
845,sym53c8xx_2,1
846,symvers,1
847,syncppp,1
848,sys,72
849,t,13
850,tab,426
851,tab2,3
852,table1,1
853,table2,1
854,table3,1
855,table4,1
856,table5a,1
857,tag,2
858,tail,6
859,tar,71
860,tasman1,1
861,tb0,195
862,tc,1
863,tcl,924
864,tclcl,6
865,tcldebug,6
866,td,2
867,terms,21
868,test,1310
869,tex,480
870,tex#,3
871,texi,10
872,texmap,1
873,tex~,13
874,tf0,193
875,tgz,29
876,th,1
877,thm,2
878,thr,1
879,ti,30
880,tie,20
881,tif,1664
882,tiff,312
883,tim,1
884,timboon,2
885,tk,8
886,tlb,1
887,tmp,41
888,tmpl,25
889,tmp~,2
890,tnt,1
891,tobin,1
892,toc,8
893,todo,1
894,top,1
895,tr,37
896,trace,1
897,trashes,5
898,trc,1
899,tre,47
900,ts,1
901,tst,22
902,tsv,4
903,ttf,13
904,tuner,1
905,turbine,1
906,two,1
907,txt,5902
908,txt~,1
909,types,3
910,uc,4
911,ucode,2
912,ucs2,1
913,ucs4,1
914,uni,2
915,unix,7
916,uno,1
917,up_defconfig,2
918,updates,14
919,upr,1
920,usbvision,1
921,utf8,2
922,valve,1
923,vanilla,5
924,vbi,1
925,vbs,3
926,vc,16
927,vc10,6
928,vc6,6
929,vc8,6
930,vc9,6
931,vcd,6
932,vcf,134
933,vcj,1
934,vcproj,35
935,vcxproj,18
936,vdec2,1
937,vdec2_defconfig,1
938,video,6
939,vit,39
940,vitr,1
941,vob,353
942,vxworks,3
943,w,46
944,waarre,2
945,warning,1
946,watcom,6
947,wav,1138
948,win,56
949,win32,7
950,windows,1
951,winview,1
952,wkq,7
953,wlc,8
954,wmf,14
955,wml,16
956,wmv,27
957,woff,13
958,wps,65
959,wq!,13
960,wq1,97
961,wri,3
962,x11,6
963,x25,1
964,x86_64,1
965,xbm,36
966,xen,2
967,xg,7
968,xgr,2
969,xls,662
970,xlsm,1
971,xlsx,407
972,xml,121487
973,xmp,20
974,xpt,2
975,xsl,1
976,xst,1
977,xy,6
978,xyz,61
979,xz,6
980,y,9
981,ymfsb,1
982,yml,1
983,yuv,1
984,z,13
985,zh,1
986,zh-tw,1
987,zi,1
988,zip,50
989,ztrace,6
990,~1~,1
991,~2dg,15
992,~2dx,1
993,~2~,1
994,~3~,1
