,,,MIME,,Format,,Version,,extension,,count,,,Size,,,
114,26,7,application/vnd.oasis.opendocument.text,,OpenDocument Text,,2,,.pptx,,1,0.00%,,"43,595,588",43.6,MB,0.00%
115,26,8,application/vnd.oasis.opendocument.text,,OpenDocument Text,,2,,.xlsx,,30,0.00%,,"28,469,399",28.5,MB,0.00%
116,26,9,application/vnd.oasis.opendocument.text,,OpenDocument Text,,,,.xlsx,,6,0.00%,,"6,536,999",6.5,MB,0.00%
117,27,1,application/vnd.oasis.opendocument.text-master,,OpenDocument Master Document,,,,.odm,,3,0.00%,,"22,071",22.1,KB,0.00%
118,28,1,application/vnd.openxmlformats-officedocument.presentationml.presentation,,Office Open XML Presentation,,2007 onwards,,.pptx,,1,0.00%,,"1,495,078",1.5,MB,0.00%
119,29,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,Office Open XML Workbook,,2007 onwards,,.xlsx,,11,0.00%,,"760,638",760.6,KB,0.00%
120,29,2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,XLSX,,,,.xlsx,,25,0.00%,,"7,699,456",7.7,MB,0.00%
121,30,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,Office Open XML Document,,2007 onwards,,.doc,,2,0.00%,,"68,049",68,KB,0.00%
122,30,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,Office Open XML Document,,2007 onwards,,.docx,,"3,224",0.00%,,"1,765,070,391",1.8,GB,0.00%
123,30,3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,Office Open XML Document,,2007 onwards,,.pptx,,344,0.00%,,"4,996,790,872",5,GB,0.00%
124,30,4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,Office Open XML Document,,2007 onwards,,.vsdx,,1,0.00%,,"60,678",60.7,KB,0.00%
125,30,5,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,Office Open XML Document,,2007 onwards,,.xlsm,,1,0.00%,,"467,317",467.3,KB,0.00%
126,30,6,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,Office Open XML Document,,2007 onwards,,.xlsx,,943,0.00%,,"566,339,095",566.3,MB,0.00%
127,30,7,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,Office Open XML Document,,,,.docx,,21,0.00%,,"1,316,566",1.3,MB,0.00%
128,31,1,application/vnd.visio,,Microsoft Visio Diagram,,,,.vsd,,1,0.00%,,"116,224",116.2,KB,0.00%
129,32,1,application/vnd.wordperfect,,WordPerfect Document,,5,,.doc,,2,0.00%,,"77,754",77.8,KB,0.00%
130,32,2,application/vnd.wordperfect,,WordPerfect Document,,5,,.wp,,10,0.00%,,"77,297",77.3,KB,0.00%
131,32,3,application/vnd.wordperfect,,WordPerfect Document,,5.1,,.doc,,5,0.00%,,"206,818",206.8,KB,0.00%
132,32,4,application/vnd.wordperfect,,WordPerfect Document,,5.1,,.wp,,12,0.00%,,"49,923",49.9,KB,0.00%
133,32,5,application/vnd.wordperfect,,WordPerfect Document,,5.2,,.wp,,22,0.00%,,"166,264",166.3,KB,0.00%
134,32,6,application/vnd.wordperfect,,WordPerfect Document,,5.2,,.wpd,,2,0.00%,,"113,149",113.1,KB,0.00%
135,32,7,application/vnd.wordperfect,,WordPerfect Document,,6,,.wpd,,38,0.00%,,"21,287,843",21.3,MB,0.00%
136,33,1,application/x-7z-compressed,,7-zip archive,,,,.7z,,3,0.00%,,"9,189,370,416",9.2,GB,0.00%
137,33,2,application/x-7z-compressed,,"7-zip archive data, version 0.4",,,,.7z,,7,0.00%,,"13,898,955",13.9,MB,0.00%
138,34,1,application/x-apple-diskimage,,Apple Disk Image,,,,.dmg,,3,0.00%,,"15,726,815",15.7,MB,0.00%
139,35,1,application/x-dosexec,,"PE32 executable (GUI) Intel 80386 (stripped to external PDB), for MS Windows, MS CAB-Installer self-extracting archive",,,,.exe,,1,0.00%,,"359,656",359.7,KB,0.00%
140,35,2,application/x-dosexec,,"PE32 executable (GUI) Intel 80386, for MS Windows",,,,.exe,,1,0.00%,,"1,228,240",1.2,MB,0.00%
141,36,1,application/x-empty,,empty,,,,.jp2,,5,0.00%,,0,0,B,0.00%
142,36,2,application/x-empty,,empty,,,,.xlsx,,1,0.00%,,0,0,B,0.00%
143,36,3,application/x-empty,,empty,,,,,,3,0.00%,,0,0,B,0.00%
144,37,1,application/x-filemaker,,FileMaker Pro Database,,3,,.fp5,,2,0.00%,,"181,248",181.2,KB,0.00%
145,37,2,application/x-filemaker,,FileMaker Pro Database,,3,,,,2,0.00%,,"2,040,832",2,MB,0.00%
146,38,1,application/x-font-ttf,,TTF,,,,.fmp12,,3,0.00%,,"68,177,920",68.2,MB,0.00%
147,38,2,application/x-font-ttf,,TTF,,,,.fp5,,87,0.00%,,"37,430,272",37.4,MB,0.00%
148,38,3,application/x-font-ttf,,TTF,,,,.fp7,,16,0.00%,,"73,224,192",73.2,MB,0.00%
149,38,4,application/x-font-ttf,,TTF,,,,,,7,0.00%,,"96,256",96.3,KB,0.00%
150,39,1,application/x-gzip,,GZIP Format,,,,.gz,,"43,096",0.04%,,"4,074,393,114,386",4.1,TB,0.75%
151,39,2,application/x-gzip,,GZIP Format,,,,.rdata,,2,0.00%,,"980,191",980.2,KB,0.00%
152,40,1,application/x-indesign,,INDD,,,,.indd,,3,0.00%,,"8,949,760",8.9,MB,0.00%
153,41,1,application/x-shockwave-flash,,Adobe Flash,,9,,.swf,,2,0.00%,,"48,478",48.5,KB,0.00%
154,42,1,application/x-tar,,POSIX tar archive (GNU),,,,.tar,,2,0.00%,,"411,739,494,400",411.7,GB,0.08%
155,43,1,application/x-tex-tfm,,TeX font metric data (±\002s),,,,,,1,0.00%,,"5,760",5.8,KB,0.00%
156,43,2,application/x-tex-tfm,,TeX font metric data (±\002z),,,,,,1,0.00%,,"5,839",5.8,KB,0.00%
157,44,1,application/zip,,ZIP Format,,1,,.ipa,,5,0.00%,,"123,703,568",123.7,MB,0.00%
158,44,2,application/zip,,ZIP Format,,1,,.xlsx,,2,0.00%,,"59,655",59.7,KB,0.00%
159,44,3,application/zip,,ZIP Format,,1,,.zip,,"861,822",0.75%,,"53,962,195,828,612",54,TB,9.97%
160,44,4,application/zip,,ZIP Format,,2,,.pptx,,28,0.00%,,"718,566,027",718.6,MB,0.00%
161,44,5,application/zip,,ZIP Format,,2,,.xlsx,,2,0.00%,,"34,752",34.8,KB,0.00%
162,44,6,application/zip,,ZIP Format,,2,,.zip,,"16,877",0.01%,,"1,617,446,698,093",1.6,TB,0.30%
163,44,7,application/zip,,ZIP Format,,,,.odb,,3,0.00%,,"5,871",5.9,KB,0.00%
164,44,8,application/zip,,ZIP Format,,,,.ots,,1,0.00%,,"7,048",7,KB,0.00%
165,44,9,application/zip,,ZIP Format,,,,.xlsx,,1,0.00%,,"29,019",29,KB,0.00%
166,44,10,application/zip,,ZIP Format,,,,.zip,,"16,541",0.01%,,"599,734,397,922",599.7,GB,0.11%
167,44,11,application/zip,,Zip archive data (empty),,,,.zip,,3,0.00%,,66,66,B,0.00%
168,45,1,audio/mp4,,MPEG-4 Audio,,,,.m4a,,3,0.00%,,"10,171,951",10.2,MB,0.00%
169,46,1,audio/mpeg,,MPEG 1/2 Audio Layer 3,,101,,.mp3,,45,0.00%,,"2,807,974,867",2.8,GB,0.00%
170,46,2,audio/mpeg,,MPEG 1/2 Audio Layer 3,,1,,.mp3,,"57,378",0.05%,,"3,454,496,309,867",3.5,TB,0.64%
171,46,3,audio/mpeg,,MPEG 1/2 Audio Layer 3,,2,,.mp3,,46,0.00%,,"286,606,487",286.6,MB,0.00%
172,46,4,audio/mpeg,,MPEG 1/2 Audio Layer 3,,2.5,,.mp3,,26,0.00%,,"26,907,124",26.9,MB,0.00%
173,46,5,audio/mpeg,,MPEG 1/2 Audio Layer 3,,,,.mp3,,"2,576",0.00%,,"160,878,734,058",160.9,GB,0.03%
174,46,6,audio/mpeg,,MPEG 1/2 Audio Layer 3,,,,.pkg,,2,0.00%,,"7,273,472",7.3,MB,0.00%
175,46,7,audio/mpeg,,MPEG 1/2 Audio Layer 3,,,,,,1,0.00%,,461,461,B,0.00%
176,47,1,audio/ogg,,Ogg Vorbis Codec Compressed Multimedia File,,0,,.ogg,,1,0.00%,,"840,391",840.4,KB,0.00%
177,48,1,audio/x-aiff,,Audio Interchange File Format,,,,.aif,,4,0.00%,,"191,707,080",191.7,MB,0.00%
178,48,2,audio/x-aiff,,Audio Interchange File Format,,,,.aiff,,7,0.00%,,"50,287,482",50.3,MB,0.00%
179,49,1,audio/x-wave,,WAVE,,,,.wav,,14,0.00%,,"20,210,216,656",20.2,GB,0.00%
180,49,2,audio/x-wave,,Waveform Audio,,0 PCM Encoding,,.wav,,"34,816",0.03%,,"11,013,764,863,108",11,TB,2.03%
181,49,3,audio/x-wave,,Waveform Audio,,1 Generic,,.wav,,1,0.00%,,"791,777,122",791.8,MB,0.00%
182,49,4,audio/x-wave,,Waveform Audio,,1 PCM Encoding,,.wav,,"1,073",0.00%,,"601,201,602,460",601.2,GB,0.11%
183,49,5,audio/x-wave,,Waveform Audio,,2 PCM Encoding,,.wav,,"46,477",0.04%,,"13,468,069,300,257",13.5,TB,2.49%
184,49,6,audio/x-wave,,Waveform Audio,,,,.wav,,"4,369",0.00%,,"1,853,577,868,774",1.9,TB,0.34%
185,50,1,image/bmp,,Windows Bitmap,,3,,.bmp,,4,0.00%,,"5,992,280",6,MB,0.00%
186,51,1,image/emf,,Microsoft Windows Enhanced Metafile,,3,,.emf,,1,0.00%,,"4,292",4.3,KB,0.00%
187,52,1,image/gif,,Graphics Interchange Format,,87a,,.gif,,2,0.00%,,"57,496",57.5,KB,0.00%
188,52,2,image/gif,,Graphics Interchange Format,,89a,,.gif,,87,0.00%,,"150,649,771",150.6,MB,0.00%
189,53,1,image/jp2,,JPEG 2000 JP2,,10,,.jp2,,388,0.00%,,"7,843,780,334",7.8,GB,0.00%
190,53,2,image/jp2,,JPEG 2000 JP2,,10.1,,.jp2,,"8,304",0.01%,,"143,897,207,025",143.9,GB,0.03%
191,53,3,image/jp2,,JPEG 2000 JP2,,10.2,,.jp2,,"4,971",0.00%,,"96,143,136,485",96.1,GB,0.02%
192,53,4,image/jp2,,JPEG 2000 JP2,,10.2.1,,.jp2,,"1,601",0.00%,,"20,723,905,302",20.7,GB,0.00%
193,53,5,image/jp2,,JPEG 2000 JP2,,10.3,,.jp2,,"15,699",0.01%,,"284,814,622,964",284.8,GB,0.05%
194,53,6,image/jp2,,JPEG 2000 JP2,,10.4,,.jp2,,"19,656",0.02%,,"135,544,341,194",135.5,GB,0.03%
195,53,7,image/jp2,,JPEG 2000 JP2,,10.5,,.jp2,,"8,331",0.01%,,"152,986,127,488",153,GB,0.03%
196,53,8,image/jp2,,JPEG 2000 JP2,,11,,.jp2,,"16,996",0.01%,,"279,854,267,364",279.9,GB,0.05%
197,53,9,image/jp2,,JPEG 2000 JP2,,11.1,,.jp2,,"26,464",0.02%,,"491,255,297,473",491.3,GB,0.09%
198,53,10,image/jp2,,JPEG 2000 JP2,,11.2,,.jp2,,"5,043",0.00%,,"77,466,554,010",77.5,GB,0.01%
199,53,11,image/jp2,,JPEG 2000 JP2,,11.2.1,,.jp2,,378,0.00%,,"9,826,281,379",9.8,GB,0.00%
200,53,12,image/jp2,,JPEG 2000 JP2,,11.3,,.jp2,,"46,885",0.04%,,"324,839,780,230",324.8,GB,0.06%
201,53,13,image/jp2,,JPEG 2000 JP2,,11.3.1,,.jp2,,939,0.00%,,"21,248,773,496",21.2,GB,0.00%
202,53,14,image/jp2,,JPEG 2000 JP2,,11.4,,.jp2,,"5,315",0.00%,,"89,131,531,412",89.1,GB,0.02%
203,53,15,image/jp2,,JPEG 2000 JP2,,11.4.1,,.jp2,,"5,086",0.00%,,"88,114,290,138",88.1,GB,0.02%
204,53,16,image/jp2,,JPEG 2000 JP2,,12,,.jp2,,"44,223",0.04%,,"310,943,087,213",310.9,GB,0.06%
205,53,17,image/jp2,,JPEG 2000 JP2,,12.1,,.jp2,,"10,471",0.01%,,"220,781,781,866",220.8,GB,0.04%
206,53,18,image/jp2,,JPEG 2000 JP2,,12.2,,.jp2,,"9,564",0.01%,,"417,215,681,057",417.2,GB,0.08%
207,53,19,image/jp2,,JPEG 2000 JP2,,12.2.1,,.jp2,,120,0.00%,,"3,005,298,238",3,GB,0.00%
208,53,20,image/jp2,,JPEG 2000 JP2,,12.3,,.jp2,,"4,842",0.00%,,"102,983,245,754",103,GB,0.02%
209,53,21,image/jp2,,JPEG 2000 JP2,,12.4,,.jp2,,"52,070",0.05%,,"816,321,661,537",816.3,GB,0.15%
210,53,22,image/jp2,,JPEG 2000 JP2,,13,,.jp2,,13,0.00%,,"187,825,281",187.8,MB,0.00%
211,53,23,image/jp2,,JPEG 2000 JP2,,13.0.2,,.jp2,,621,0.00%,,"17,366,362,592",17.4,GB,0.00%
212,53,24,image/jp2,,JPEG 2000 JP2,,13.1,,.jp2,,"1,580",0.00%,,"20,661,310,238",20.7,GB,0.00%
213,53,25,image/jp2,,JPEG 2000 JP2,,13.2,,.jp2,,"3,724",0.00%,,"83,630,851,088",83.6,GB,0.02%
214,53,26,image/jp2,,JPEG 2000 JP2,,13.3,,.jp2,,"30,831",0.03%,,"599,610,178,671",599.6,GB,0.11%
215,53,27,image/jp2,,JPEG 2000 JP2,,14.2,,.jp2,,"16,160",0.01%,,"263,600,253,055",263.6,GB,0.05%
216,53,28,image/jp2,,JPEG 2000 JP2,,14.3,,.jp2,,"48,740",0.04%,,"412,390,015,912",412.4,GB,0.08%
